Sub Category,n_items,avg_price,avg_rating,avg_bayes,discount_share
Laundry Detergent & Supplies,39,33.895,4.573,4.492,0.0
Organic,33,22.42,4.644,4.489,0.0
Coffee,95,32.881,4.567,4.48,0.0
Breakfast,21,13.304,4.75,4.472,0.0
Kirkland Signature Grocery,122,28.12,4.602,4.472,0.0
Pantry & Dry Goods,171,29.103,4.575,4.469,0.0
Cleaning Supplies,94,30.251,4.529,4.469,0.0
Poultry,9,159.434,4.478,4.463,0.0
Gift Baskets,89,118.743,4.456,4.459,0.0
Candy,154,25.069,4.552,4.457,0.0
Deli,21,370.704,4.476,4.452,0.0
Snacks,293,21.521,4.485,4.447,0.0
Household,81,28.336,4.34,4.447,0.0
Beverages & Water,148,36.704,4.355,4.442,0.0
Paper & Plastic Products,88,25.345,4.276,4.438,0.0
Bakery & Desserts,33,83.414,4.115,4.418,0.0
Meat & Seafood,144,230.684,4.231,4.375,0.0
Seafood,47,195.521,4.204,4.353,0.0
Floral,75,65.843,4.241,4.298,0.0
